x,Curve1
6.46,1317.08
7.143,1277.82
8.213,1184.29
9.972,1032.77
11.576,898.09
13.632,746.59
15.908,610.1
17.571,527.86
20.585,410.17
23.895,301.86
28.617,204.93
35.124,115.65
42.067,63.86
48.107,41.96
53.176,27.45
58.392,20.45
61,18.82
64.352,17.26
66.887,10.01
