Unnamed: 0,t,Ii,I_ss,V0_Vm,V_E,tms
12000,1.1999999999998845,-3.3009300405455506,3.3009300405455506,-50.0,-50.0,-1.1546319456101628e-10
12001,1.2000999999998845,-3.3009295143503725,3.3009295143503725,-50.0,-50.0,0.09999999988452579
12002,1.2001999999998842,-3.3009289535788486,3.3009289535788486,-50.0,-50.0,0.19999999988429273
12003,1.2002999999998842,-3.300928422647039,3.300928422647039,-50.0,-50.0,0.2999999998842817
12004,1.2003999999998842,-3.3009278400143267,3.3009278400143267,-50.0,-50.0,0.3999999998842707
12005,1.2004999999998842,-3.30092726965537,3.30092726965537,-50.0,-50.0,0.4999999998842597
12006,1.2005999999998842,-3.300926811792277,3.300926811792277,-50.0,-50.0,0.5999999998842487
12007,1.2006999999998842,-3.3009262590391764,3.3009262590391764,-50.0,-50.0,0.6999999998842377
12008,1.2007999999998842,-3.3009256190218794,3.3009256190218794,-50.0,-50.0,0.7999999998842267
12009,1.2008999999998842,-3.300925044517136,3.300925044517136,-50.0,-50.0,0.8999999998842156
12010,1.2009999999998842,-3.300924596068908,3.300924596068908,-50.0,-50.0,0.9999999998842046
12011,1.201099999999884,-3.300924074027297,3.300924074027297,-50.0,-50.0,1.0999999998839716
12012,1.201199999999884,-3.3009234909960683,3.3009234909960683,-50.0,-50.0,1.1999999998839606
12013,1.201299999999884,-3.300922942918633,3.300922942918633,-50.0,-50.0,1.2999999998839495
12014,1.201399999999884,-3.300922426518833,3.300922426518833,-50.0,-50.0,1.3999999998839385
12015,1.201499999999884,-3.300921878296001,3.300921878296001,-50.0,-50.0,1.4999999998841496
12016,1.201599999999884,-3.300921375166361,3.300921375166361,-50.0,-50.0,1.5999999998841385
12017,1.201699999999884,-3.300920784960766,3.300920784960766,-50.0,-50.0,1.6999999998841275
12018,1.201799999999884,-3.300920279461433,3.300920279461433,-50.0,-50.0,1.7999999998841165
12019,1.201899999999884,-3.3009197651667934,3.3009197651667934,-50.0,-50.0,1.8999999998841055
12020,1.201999999999884,-3.300919248500949,3.300919248500949,-50.0,-50.0,1.9999999998840945
12021,1.202099999999884,-3.30091866539262,3.30091866539262,-50.0,-50.0,2.0999999998840835
12022,1.202199999999884,-3.3009181189844523,3.3009181189844523,-50.0,-50.0,2.1999999998840725
12023,1.202299999999884,-3.3009175702695357,3.3009175702695357,-50.0,-50.0,2.2999999998840615
12024,1.202399999999884,-3.300917073332954,3.300917073332954,-50.0,-50.0,2.3999999998840504
12025,1.202499999999884,-3.300916496976221,3.300916496976221,-50.0,-50.0,2.4999999998840394
12026,1.202599999999884,-3.3009159585460446,3.3009159585460446,-50.0,-50.0,2.5999999998840284
12027,1.202699999999884,-3.300915404246589,3.300915404246589,-50.0,-50.0,2.6999999998840174
12028,1.202799999999884,-3.3009149518380667,3.3009149518380667,-50.0,-50.0,2.7999999998840064
12029,1.202899999999884,-3.300914421554499,3.300914421554499,-50.0,-50.0,2.8999999998839954
12030,1.202999999999884,-3.300913846181257,3.300913846181257,-50.0,-50.0,2.9999999998839844
12031,1.203099999999884,-3.3009133340045027,3.3009133340045027,-50.0,-50.0,3.0999999998839733
12032,1.203199999999884,-3.3009128291917142,3.3009128291917142,-50.0,-50.0,3.1999999998839623
12033,1.203299999999884,-3.300912285823469,3.300912285823469,-50.0,-50.0,3.2999999998839513
12034,1.203399999999884,-3.3009117713320038,3.3009117713320038,-50.0,-50.0,3.3999999998839403
12035,1.203499999999884,-3.300911209037512,3.300911209037512,-50.0,-50.0,3.4999999998841513
12036,1.203599999999884,-3.3009106605117897,3.3009106605117897,-50.0,-50.0,3.5999999998841403
12037,1.203699999999884,-3.300910221930359,3.300910221930359,-50.0,-50.0,3.6999999998841293
12038,1.203799999999884,-3.3009096838909797,3.3009096838909797,-50.0,-50.0,3.7999999998841183
12039,1.2038999999998838,-3.3009091245816387,3.3009091245816387,-50.0,-50.0,3.8999999998838852
12040,1.2039999999998838,-3.30090859907,3.30090859907,-50.0,-50.0,3.9999999998838742
12041,1.2040999999998838,-3.300908112453726,3.300908112453726,-50.0,-50.0,4.099999999883863
12042,1.2041999999998838,-3.300907563686231,3.300907563686231,-50.0,-50.0,4.199999999883852
12043,1.2042999999998838,-3.300907047702865,3.300907047702865,-50.0,-50.0,4.299999999883841
