x,Curve1
6.485,147.66
8.178,133.66
10.248,117.34
12.221,108.09
14.056,94.1
15.889,82.48
17.721,77.93
19.646,71.03
21.338,62.93
23.451,59.59
25.518,52.71
28.381,48.26
31.948,46.23
33.968,40.52
35.845,39.52
37.581,40.86
39.599,37.51
41.43,35.32
43.261,33.13
44.998,30.94
48.235,31.24
53.867,29.41
57.246,27.36
59.545,28.76
63.064,27.91
67.992,24.83
70.058,20.31
71.841,21.65
73.671,21.82
75.501,23.18
77.424,24.54
79.349,21.18
